w1;w2;cooc
canarino;squalo;1
canarino;medusa;0
canarino;tricheco;0
canarino;foca;4
canarino;plancton;0
canarino;merluzzo;0
canarino;granchio;0
canarino;tartaruga;5
canarino;gufo;0
canarino;corvo;1
canarino;pettirosso;1
canarino;albatro;0
canarino;upupa;0
canarino;gabbiano;0
canarino;aquila;5
canarino;anatra;2
canarino;struzzo;0
canarino;pinguino;1
canarino;tavolo;2
canarino;sedia;0
canarino;divano;0
canarino;scrivania;0
canarino;armadio;2
canarino;letto;1
canarino;comodino;0
canarino;sgabello;0
canarino;poltrona;0
canarino;scaffale;0
canarino;martello;1
canarino;trapano;0
canarino;cacciavite;0
canarino;chiodo;0
canarino;ascia;0
canarino;sega;0
canarino;vite;0
canarino;pinza;0
canarino;scalpello;0
canarino;cazzuola;0
canarino;cucchiaio;0
canarino;forchetta;0
canarino;coltello;0
canarino;piatto;1
canarino;tazza;0
canarino;pentola;0
canarino;ciotola;0
canarino;padella;0
canarino;mattarello;0
canarino;tagliere;0
canarino;penna;2
canarino;matita;0
canarino;gomma;0
canarino;carta;4
canarino;busta;0
canarino;evidenziatore;0
canarino;righello;0
canarino;pennello;0
canarino;colla;0
canarino;graffetta;0
canarino;telefono;1
canarino;radio;2
canarino;computer;1
canarino;frigorifero;0
canarino;lavatrice;0
canarino;lavastoviglie;0
canarino;camera;0
canarino;aspirapolvere;1
canarino;microonda;0
canarino;televisione;0
mucca;cane;55
mucca;gatto;12
mucca;furetto;0
mucca;criceto;0
mucca;coniglio;10
mucca;pappagallo;0
mucca;camaleonte;0
mucca;iguana;0
mucca;topo;19
mucca;canarino;1
mucca;mucca;188
mucca;capra;99
mucca;pecora;113
mucca;maiale;64
mucca;bufalo;4
mucca;pollo;162
mucca;vitello;53
mucca;agnello;17
mucca;asino;26
mucca;cavallo;78
mucca;elefante;9
mucca;zebra;9
mucca;ippopotamo;6
mucca;scimmia;7
mucca;giraffa;8
mucca;antilopo;0
mucca;leone;16
mucca;rinoceronte;1
mucca;leopardo;1
mucca;coccodrillo;2
mucca;delfino;1
mucca;balena;1
mucca;squalo;2
mucca;medusa;0
mucca;tricheco;0
mucca;foca;1
mucca;plancton;0
mucca;merluzzo;0
mucca;granchio;1
mucca;tartaruga;2
mucca;gufo;0
mucca;corvo;4
mucca;pettirosso;0
mucca;albatro;0
mucca;upupa;0
mucca;gabbiano;2
mucca;aquila;2
mucca;anatra;3
mucca;struzzo;6
mucca;pinguino;0
mucca;tavolo;8
mucca;sedia;1
mucca;divano;0
mucca;scrivania;2
mucca;armadio;1
mucca;letto;16
mucca;comodino;0
mucca;sgabello;0
mucca;poltrona;1
mucca;scaffale;0
mucca;martello;0
mucca;trapano;0
mucca;cacciavite;0
mucca;chiodo;0
mucca;ascia;5
mucca;sega;1
mucca;vite;12
mucca;pinza;0
mucca;scalpello;0
mucca;cazzuola;0
mucca;cucchiaio;4
mucca;forchetta;0
mucca;coltello;1
mucca;piatto;11
mucca;tazza;4
mucca;pentola;1
mucca;ciotola;0
mucca;padella;2
mucca;mattarello;0
mucca;tagliere;0
mucca;penna;0
mucca;matita;1
mucca;gomma;3
mucca;carta;8
mucca;busta;3
mucca;evidenziatore;0
mucca;righello;0
mucca;pennello;0
mucca;colla;5
mucca;graffetta;0
mucca;telefono;4
mucca;radio;5
mucca;computer;28
mucca;frigorifero;3
mucca;lavatrice;0
mucca;lavastoviglie;0
mucca;camera;36
mucca;aspirapolvere;0
mucca;microonda;0
mucca;televisione;4
capra;cane;30
capra;gatto;12
capra;furetto;1
capra;criceto;2
capra;coniglio;12
capra;pappagallo;3
capra;camaleonte;0
capra;iguana;0
capra;topo;18
capra;canarino;0
capra;mucca;99
capra;capra;146
capra;pecora;408
capra;maiale;46
capra;bufalo;6
capra;pollo;12
capra;vitello;11
capra;agnello;44
capra;asino;22
capra;cavallo;41
capra;elefante;2
capra;zebra;0
capra;ippopotamo;2
capra;scimmia;15
capra;giraffa;0
capra;antilopo;0
capra;leone;33
capra;rinoceronte;0
capra;leopardo;14
capra;coccodrillo;3
capra;delfino;0
capra;balena;2
capra;squalo;0
capra;medusa;0
capra;tricheco;0
capra;foca;1
capra;plancton;0
capra;merluzzo;0
capra;granchio;1
capra;tartaruga;3
capra;gufo;0
capra;corvo;2
capra;pettirosso;1
capra;albatro;0
capra;upupa;0
capra;gabbiano;0
capra;aquila;3
capra;anatra;4
capra;struzzo;0
capra;pinguino;2
capra;tavolo;0
capra;sedia;1
capra;divano;0
capra;scrivania;0
capra;armadio;1
capra;letto;9
capra;comodino;0
capra;sgabello;1
capra;poltrona;2
capra;scaffale;0
capra;martello;0
capra;trapano;0
capra;cacciavite;0
capra;chiodo;0
capra;ascia;6
capra;sega;0
capra;vite;0
capra;pinza;0
capra;scalpello;0
capra;cazzuola;0
capra;cucchiaio;4
capra;forchetta;0
capra;coltello;1
capra;piatto;12
capra;tazza;1
capra;pentola;1
capra;ciotola;2
capra;padella;1
capra;mattarello;0
capra;tagliere;0
capra;penna;0
capra;matita;0
capra;gomma;0
capra;carta;1
capra;busta;0
capra;evidenziatore;0
capra;righello;0
capra;pennello;1
capra;colla;2
capra;graffetta;0
capra;telefono;0
capra;radio;3
capra;computer;2
capra;frigorifero;0
capra;lavatrice;0
capra;lavastoviglie;0
capra;camera;2
capra;aspirapolvere;0
capra;microonda;0
capra;televisione;3
pecora;cane;69
pecora;gatto;17
pecora;furetto;0
pecora;criceto;1
pecora;coniglio;10
pecora;pappagallo;2
pecora;camaleonte;0
pecora;iguana;0
pecora;topo;14
pecora;canarino;0
pecora;mucca;113
pecora;capra;408
pecora;pecora;176
pecora;maiale;51
pecora;bufalo;5
pecora;pollo;9
pecora;vitello;35
pecora;agnello;118
pecora;asino;24
pecora;cavallo;46
pecora;elefante;7
pecora;zebra;0
pecora;ippopotamo;1
pecora;scimmia;11
pecora;giraffa;4
pecora;antilopo;0
pecora;leone;100
pecora;rinoceronte;0
pecora;leopardo;12
pecora;coccodrillo;6
pecora;delfino;0
pecora;balena;0
pecora;squalo;3
pecora;medusa;0
pecora;tricheco;0
pecora;foca;0
pecora;plancton;0
pecora;merluzzo;0
pecora;granchio;0
pecora;tartaruga;0
pecora;gufo;0
pecora;corvo;3
pecora;pettirosso;2
pecora;albatro;0
pecora;upupa;0
pecora;gabbiano;0
pecora;aquila;4
pecora;anatra;5
pecora;struzzo;1
pecora;pinguino;0
pecora;tavolo;8
pecora;sedia;0
pecora;divano;1
pecora;scrivania;0
pecora;armadio;1
pecora;letto;12
pecora;comodino;1
pecora;sgabello;0
pecora;poltrona;0
pecora;scaffale;0
pecora;martello;0
pecora;trapano;0
pecora;cacciavite;0
pecora;chiodo;0
pecora;ascia;65
pecora;sega;0
pecora;vite;1
pecora;pinza;0
pecora;scalpello;0
pecora;cazzuola;0
pecora;cucchiaio;3
pecora;forchetta;0
pecora;coltello;3
pecora;piatto;14
pecora;tazza;1
pecora;pentola;1
pecora;ciotola;4
pecora;padella;0
pecora;mattarello;0
pecora;tagliere;0
pecora;penna;11
pecora;matita;0
pecora;gomma;0
pecora;carta;35
pecora;busta;0
pecora;evidenziatore;0
pecora;righello;0
pecora;pennello;3
pecora;colla;4
pecora;graffetta;0
pecora;telefono;0
pecora;radio;4
pecora;computer;1
pecora;frigorifero;0
pecora;lavatrice;1
pecora;lavastoviglie;0
pecora;camera;5
pecora;aspirapolvere;0
pecora;microonda;0
pecora;televisione;6
maiale;cane;81
maiale;gatto;25
maiale;furetto;0
maiale;criceto;3
maiale;coniglio;113
maiale;pappagallo;1
maiale;camaleonte;0
maiale;iguana;1
maiale;topo;12
maiale;canarino;0
maiale;mucca;64
maiale;capra;46
maiale;pecora;51
maiale;maiale;449
maiale;bufalo;8
maiale;pollo;337
maiale;vitello;275
maiale;agnello;188
maiale;asino;32
