WORD,,AOA,,   FAM,,IMAG,,CONC,,Adult WrtFQ,,Child Written,,,Adult,,,,Lexical,PHON:,PHON:,,VOICE,MANNER,,,,,PLACE,,,,,,VOWEL,,,
Italian,English,mean,sd,mean,sd,mean,sd,mean,sd,ILC,CoLFIS,TotFQ,CompFQ,ProdFQ,SpkFQ,NSIZE,BIGR,SYL,LET,Stress,VOICE,MANN,voiced,stop,nasal,fricative,affricate,liquid,bilabial,labiodental,dental,alveolar,palatal,velar,vowel,RT,,
BUFERA,storm,4.23,1.01,5.95,1.36,4.73,1.83,4.32,1.88,15,32,9,7,2,0,0,10.05,3,6,p,voiced,stop,1,1,0,0,0,0,1,0,0,0,0,0,0,542,,
BUGIA,lie,2.27,0.97,6.59,0.79,3.00,2.03,2.93,1.86,24,24,31,16,15,0,0,10.11,3,5,p,voiced,stop,1,1,0,0,0,0,1,0,0,0,0,0,0,510,,
BURRASCA,tempest,4.89,1.13,5.18,1.39,4.43,1.86,4.52,1.84,16,10,8,5,3,0,0,10.29,3,8,p,voiced,stop,1,1,0,0,0,0,1,0,0,0,0,0,0,534,,
BURRO,butter,2.82,1.06,6.82,0.50,6.07,1.30,5.14,2.28,11,91,24,21,3,2,0,10.16,2,5,p,voiced,stop,1,1,0,0,0,0,1,0,0,0,0,0,0,531,,
BUSSOLA,compass,4.18,0.99,5.68,1.25,5.64,1.51,6.45,1.11,15,16,9,8,1,0,0,10.45,3,7,ap,voiced,stop,1,1,0,0,0,0,1,0,0,0,0,0,0,534,,
CADAVERE,corpse,4.82,1.11,6.34,1.01,5.41,1.56,4.93,2.25,46,136,0,0,0,2,0,11.10,4,8,ap,voiceless,stop,0,1,0,0,0,0,0,0,0,0,0,1,0,537,,
CALAMITA,magnet,3.80,1.05,5.77,1.57,5.52,1.62,6.41,0.82,2,9,0,0,0,1,1,11.15,4,8,p,voiceless,stop,0,1,0,0,0,0,0,0,0,0,0,1,0,562,,
CALCAGNO,heel,5.02,1.41,4.36,1.87,5.18,1.85,6.55,0.98,3,5,0,0,0,0,0,10.70,3,8,p,voiceless,stop,0,1,0,0,0,0,0,0,0,0,0,1,0,564,,
CALVARIO,ordeal,5.36,1.38,4.32,1.84,3.02,1.85,4.52,2.43,13,25,0,0,0,1,0,10.88,3,8,p,voiceless,stop,0,1,0,0,0,0,0,0,0,0,0,1,0,529,,
CAMINO,fireplace,2.89,0.84,6.36,0.94,6.25,1.16,6.64,0.72,22,27,57,29,28,0,5,11.25,3,6,p,voiceless,stop,0,1,0,0,0,0,0,0,0,0,0,1,0,530,,
CAMMELLO,camel,3.16,1.08,6.16,1.36,5.93,1.47,5.89,1.77,9,12,10,8,2,0,0,10.86,3,8,p,voiceless,stop,0,1,0,0,0,0,0,0,0,0,0,1,0,537,,
CAMOMILLA,camomile,2.80,1.02,6.64,0.72,5.70,1.52,5.48,1.70,3,6,0,0,0,0,0,11.00,4,9,p,voiceless,stop,0,1,0,0,0,0,0,0,0,0,0,1,0,552,,
CANAPA,hemp,5.30,1.29,4.36,1.94,3.82,1.87,6.64,0.89,14,1,0,0,0,0,0,11.06,3,6,ap,voiceless,stop,0,1,0,0,0,0,0,0,0,0,0,1,0,550,,
CANDELA,candle,2.93,0.70,6.59,0.87,6.30,0.95,6.80,0.46,35,43,49,23,26,1,0,11.35,3,7,p,voiceless,stop,0,1,0,0,0,0,0,0,0,0,0,1,0,534,,
CANE,dog,1.66,0.68,6.98,0.15,6.57,1.07,7.00,0.00,177,174,1350,290,1060,39,1,11.55,2,4,p,voiceless,stop,0,1,0,0,0,0,0,0,0,0,0,1,0,496,,
CANGURO,kangaroo,2.93,0.87,6.11,1.45,6.20,1.11,4.80,2.58,4,8,14,5,9,0,0,10.69,3,7,p,voiceless,stop,0,1,0,0,0,0,0,0,0,0,0,1,0,542,,
CANTIERE,building site,5.07,1.25,6.02,0.82,4.57,1.87,3.98,2.23,15,65,7,4,3,25,0,11.37,3,8,p,voiceless,stop,0,1,0,0,0,0,0,0,0,0,0,1,0,544,,
